"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-148K14.3.1",0.371691361118812,1.24965539343824,1.51063172125894,0.142181514683169,0.559259047163758,-4.55645886284987
"CKAP2",0.323469833026978,1.92359340839778,1.51044774669856,0.142228231680597,0.559259047163758,-4.55667844555507
"REC8",-0.330850430988569,4.94621616108553,-1.5103285934613,0.142258495112587,0.559259047163758,-4.55682064909241
"LETM2",0.368413483503401,2.72793106731082,1.51009936743267,0.142316730322366,0.559301428335912,-4.55709419317767
"C19orf29",-0.306945026245252,3.42469566130682,-1.50917938655492,0.142550647049177,0.560033975373866,-4.55819169787934
"KRTCAP2",-0.319813572879064,6.30348790089668,-1.50884210753983,0.142636482424943,0.560184465798193,-4.5585939221327
"PKIG",0.427616036312786,3.0760933723176,1.50844982061344,0.142736369593559,0.5603900239939,-4.55906165346569
"RPS3AP5",0.451018047624067,3.07595520877023,1.50785056964092,0.142889064870816,0.560802703485661,-4.55977595903316
"RP11-785H5.1.1",-1.03515682290267,2.39757581290706,-1.50750348870651,0.142977565087732,0.560878827462841,-4.56018957186615
"BLM",-0.417901157513592,1.89028770682286,-1.50736567821694,0.143012716911236,0.560878827462841,-4.56035377751559
"HLA-H",-0.31081331568629,7.3313457131603,-1.50713998378538,0.143070300717721,0.560878827462841,-4.56062267305811
"RP11-145M9.3.1",0.315009061640579,1.17772378772153,1.50700817180035,0.143103939980948,0.560878827462841,-4.56077970040848
"AKR1E2",-0.438605450247684,0.855450395652914,-1.50659247715542,0.143210069839738,0.560878827462841,-4.56127484261785
"GLRX2",0.38524689373999,2.47876588053513,1.50647243706815,0.143240728792672,0.560878827462841,-4.56141780386267
"HHEX",0.291312032492529,4.31110692370349,1.50646910168496,0.143241580745219,0.560878827462841,-4.56142177598969
"LAS1L",-0.305022791674168,3.62237073636584,-1.50607185596779,0.143343078022346,0.561089843099093,-4.56189480646367
"AC079767.4.1",0.373820547104766,1.23899949034202,1.50570033122578,0.143438056173221,0.561168670204377,-4.56233711616307
"AL359758.1.1",0.507250127559026,3.36723825983074,1.50551107276659,0.143486458572204,0.561168670204377,-4.56256239868221
"RP3-340B19.2.1",0.526342402682534,3.76671641141681,1.5054344607887,0.143506055658917,0.561168670204377,-4.56265358660463
"MCTP2",0.51548543860346,3.89260353454743,1.50505170982891,0.143603994499544,0.561365399393573,-4.563109101327
"TWISTNB",0.281623722291881,1.43954221563265,1.50485799448655,0.143653583248577,0.561373054432272,-4.56333960705306
"TBCAP1",0.342302945256147,4.40557544584087,1.50408704217764,0.143851074831098,0.56192676909212,-4.56425673654221
"ABC12-49244600F4.3.1",0.433398163652752,2.50942517207653,1.50326121293055,0.144062867503867,0.56192676909212,-4.56523871887489
"CREBL2",0.280113349962913,3.07170613513778,1.50321646818901,0.144074349963989,0.56192676909212,-4.5652919115608
"CCDC18",0.356539655535726,1.04327889216954,1.50308505299297,0.144108078199237,0.56192676909212,-4.56544813081318
"AL137145.2",0.277006869923823,0.87858917233219,1.50307168086663,0.14411151056671,0.56192676909212,-4.56546402624096
"ARL3",0.345940560168829,2.83214499014555,1.50300225729706,0.14412933132323,0.56192676909212,-4.56554654806937
"AMY1C",0.272008890462358,2.19675561310158,1.50209384240106,0.144362682063085,0.56192676909212,-4.56662606590067
"RP11-466H18.1.1",0.654624825613446,6.58483776879199,1.50161965217246,0.14448461180299,0.56192676909212,-4.56718935793301
"P2RX7",0.382842541273131,2.27318779889205,1.5013830490003,0.144545481297449,0.56192676909212,-4.56747036479574
"ANAPC4",0.309247606764415,3.12615326802601,1.50125908841691,0.14457738017373,0.56192676909212,-4.56761757469871
"C1orf124",0.318265312131127,1.76078907547015,1.50117760850453,0.14459835056343,0.56192676909212,-4.56771433105253
"RP11-734E19.1.1",0.383569920557014,1.2319355051599,1.50109881166595,0.144618632751519,0.56192676909212,-4.56780789717642
"GCC2",0.35602260671784,2.25850377832272,1.50109236856949,0.144620291296562,0.56192676909212,-4.56781554775575
"RPS17L",0.54079388271559,6.59097638620321,1.50108160375022,0.144623062349071,0.56192676909212,-4.56782832991964
"RTP4",0.398716906449222,2.64363968557417,1.50090073354294,0.144669627917005,0.56192676909212,-4.56804308420574
"PSMB1",0.282600982983195,6.18812504738321,1.50075769450584,0.144706462317645,0.56192676909212,-4.56821290496625
"LIN7A",0.409495302911883,2.91547799077002,1.50063674437482,0.144737614452472,0.56192676909212,-4.56835649063082
"SPAG9",0.341217257873518,3.92019889566794,1.5006150620271,0.144743199569985,0.56192676909212,-4.56838222977145
"RPL21P119",0.447993052098803,6.13409811417841,1.50039250269071,0.144800538303343,0.56192676909212,-4.5686464125111
"NAA10",-0.323404398300252,6.10487340247734,-1.50000875014123,0.144899448907419,0.56192676909212,-4.56910185925655
"XAF1",0.467047666480054,5.00931926867531,1.49996425239154,0.144910921546027,0.56192676909212,-4.56915466404471
"TRAV30",-0.597874579036327,1.5158840873688,-1.49991055856191,0.144924766142296,0.56192676909212,-4.56921837995976
"HPX",0.941973582402528,0.906745847923378,1.49989990944109,0.144927512074139,0.56192676909212,-4.56923101654186
"RP11-638I2.10.1",0.766743684800343,2.41940592776799,1.4996244933067,0.144998544176288,0.56192676909212,-4.5695578083208
"RP11-848G14.2.1",0.360972846363842,2.29846586876245,1.4995968688851,0.14500567029511,0.56192676909212,-4.56959058302517
"WDFY3",0.478808216131088,3.3354563943722,1.49939607290888,0.145057477022299,0.56192676909212,-4.56982880034797
"RP11-507E23.1.1",0.569832474682398,3.44838431478645,1.4991993412686,0.145108249623314,0.56192676909212,-4.57006217039097
"MAPRE3",0.285340508961253,3.20844882014499,1.49904713925368,0.145147539844482,0.56192676909212,-4.57024270050086
"RP11-161H23.10.1",0.405156821941154,1.03186305319739,1.49892946039701,0.145177923967886,0.56192676909212,-4.57038227158994
"RNASEL",0.302558371530804,3.56665040680604,1.49855190105581,0.14527544268628,0.562119621635092,-4.57083000872452
"MSC",-0.512564467193652,2.08541521463569,-1.49765146986148,0.145508226021761,0.562527798314535,-4.57189742979741
"MRPS14",0.290494667426653,2.95290835065897,1.49751113974125,0.145544531880645,0.562527798314535,-4.5720637372673
"NKAPP1",0.326751420606397,1.0375672563827,1.49750582826808,0.145545906195401,0.562527798314535,-4.57207003172676
"CCL3",-0.419331055953502,1.96410299695989,-1.49728125884699,0.145604021897961,0.562527798314535,-4.57233614502889
"AP003774.6.1",0.385923318453067,2.17462073852123,1.49722117060849,0.145619575144888,0.562527798314535,-4.57240734362018
"ARID4A",0.404076294796038,2.47820914027718,1.4966648134673,0.145763646412651,0.562899848171529,-4.57306645964368
"CCDC142",0.317305698988105,2.67278598646525,1.49614779734368,0.14589763327718,0.563232723814229,-4.5736787872911
"FBXO28",0.292438746893988,2.07306010569124,1.49534899210926,0.146104842400788,0.563808589779571,-4.57462450858124
"GPR160",0.479592900355244,3.47160058942968,1.4951389151817,0.146159375532479,0.563808589779571,-4.57487315361247
"AC090425.1",-0.302603138567135,0.793578189882837,-1.49460937951474,0.146296908727173,0.563808589779571,-4.57549977905089
"CD86",0.280795596120672,3.95212095000682,1.49446462110018,0.146334524152602,0.563808589779571,-4.57567104688284
"NCOA2",0.416187016437954,2.64479928395141,1.49442983880401,0.146343563483356,0.563808589779571,-4.57571219677547
"C1orf86",-0.393374728458351,5.44007960596995,-1.49411357370591,0.146425776111014,0.563808589779571,-4.5760863242768
"YWHAZP2",0.32779796916512,3.10315295883788,1.49404103397286,0.146444637956337,0.563808589779571,-4.5761721263325
"DPP8",0.292855701363177,2.67647988383949,1.49396879265485,0.146463424155762,0.563808589779571,-4.57625757199791
"PAICSP4",0.323198876857105,1.43585928175174,1.4939152937628,0.146477337680727,0.563808589779571,-4.57632084727876
"RBX1",0.361389159976494,3.67526142801055,1.49276449517312,0.146776885598769,0.564468704034908,-4.57768149003858
"PML",-0.311886488269279,5.41639148086653,-1.49266317619965,0.146803282141219,0.564468704034908,-4.57780124272423
"HFE",0.387820908679191,1.99514392048074,1.49254492390248,0.146834095149771,0.564468704034908,-4.57794100105283
"RP11-456P18.2.1",0.38702145633083,1.3433593722484,1.49252069998806,0.146840407820382,0.564468704034908,-4.5779696293373
"TIMD4",0.34839303265178,0.558122932944651,1.49200343896792,0.146975256550574,0.564802860679837,-4.57858084673457
"FRMD8P1",-0.255972136074111,1.88718637737287,-1.49163063813182,0.147072506764724,0.564975838609943,-4.57902125542666
"KLRC2",0.352481003450637,0.693665952635276,1.49132425028467,0.147152471081308,0.564975838609943,-4.57938313902227
"TAF13",0.289154768160338,2.75496023136508,1.49112481647176,0.147204540245423,0.564975838609943,-4.57961866311238
"SLC25A30",0.278252059225592,1.88891999011582,1.49093877309977,0.147253126759217,0.564975838609943,-4.57983835012612
"ARHGAP15",0.280369804236728,6.40380088737089,1.4909126482967,0.147259950467482,0.564975838609943,-4.57986919746389
"MRS2",0.313072579666857,2.40807996080716,1.48984880122134,0.147538040286789,0.565858556075529,-4.58112497502886
"ELOF1",-0.272111800155009,5.71774106111881,-1.48915881829589,0.147718628148761,0.566366867716754,-4.58193904306858
"CLEC4F",-0.407614442560823,0.670694897013013,-1.48895807842219,0.147771200839001,0.566370977714806,-4.58217582507796
"SEPT7P8",0.295094900759316,2.55455353321019,1.48878779404626,0.147815809218627,0.566370977714806,-4.58237666273485
"ZNF506",0.319671802671366,2.00406928857287,1.48826391550174,0.147953114600351,0.56658874965984,-4.58299441917583
"AL031963.1",1.40690257415072,0.600580606722906,1.48820412804197,0.147968791061682,0.56658874965984,-4.58306490899521
"SEPT11",0.409060319593988,2.52493914451105,1.48792470796525,0.1480420736358,0.566685248415571,-4.58339431612497
"SNORA44",-1.33027331854002,1.35042045982228,-1.48752508309773,0.14814693273578,0.566902515981787,-4.58386534331772
"MT1P3.1",-1.419307768362,2.28048009971619,-1.48722555645524,0.14822556590469,0.567019318322841,-4.58421831882279
"TMEM86B",-0.268445889985977,4.06528997540161,-1.4868019310725,0.148336835469611,0.567260851020387,-4.58471743746795
"NOP58",0.370586980161779,3.46690667855071,1.48539231306191,0.148707570634927,0.568494138015976,-4.586377413561
"RP5-827C21.1.1",-0.374053379910287,7.80312150822306,-1.48502160277985,0.148805192734175,0.568656216129208,-4.5868137483313
"OTUD4",0.276399676616674,1.69907166842409,1.48486493745327,0.148846464174326,0.568656216129208,-4.58699812004578
"RP4-583P15.10.1",-0.555271073258806,1.18058059405131,-1.48370020498154,0.149153586807884,0.5696449041211,-4.58836833181987
"RPS26P11",-0.434444177998267,0.743778429941617,-1.48312078455328,0.14930656124694,0.570012631776256,-4.58904964081727
"LRIF1",0.308938147791671,2.47406187039668,1.48275126627773,0.1494041847457,0.570012631776256,-4.58948402226481
"ANKRD9",0.429416681365897,2.42456912888773,1.48274979013279,0.14940457483328,0.570012631776256,-4.58948575734433
"OASL",0.55189719528998,5.03008928669452,1.48240012361794,0.149497001161476,0.570012631776256,-4.58989671952758
