"Gene","logFC","adj.P.Val"
"TIA1",0.695994800809115,0.35125917880389
"ACADM",0.566160687312106,0.35125917880389
"SNX16",0.667035961747294,0.35125917880389
"ALDOC",-0.565906794164722,0.35125917880389
"MAP3K1",0.607659589298023,0.35125917880389
"ATF2",0.551700249328815,0.35125917880389
"SPAG1",0.608903201498564,0.35125917880389
"MSL3",0.569704354972641,0.35125917880389
"SRP9",0.608595984393403,0.35125917880389
"DENND4A",0.527713851706679,0.35125917880389
"RBM14-RBM4",-0.507431162422918,0.35125917880389
"TM9SF3",0.525337862608082,0.35125917880389
"GSN",-0.611985140490787,0.352062826660884
"G6PD",-0.505111298855861,0.355381503139169
"KYNU",0.582904745378097,0.355381503139169
"TGDS",0.541237438591347,0.355381503139169
"CCDC86",-0.505491162075233,0.355381503139169
"PCMT1",0.501922989265144,0.355381503139169
"CHMP5",0.909366873424803,0.355381503139169
"ZRANB2",0.736065223973084,0.355381503139169
"OSBPL8",0.891818646909618,0.355381503139169
"MOSPD2",0.685701976321026,0.355381503139169
"PHF6",0.511797905598902,0.355381503139169
"SEMA6C",-0.707742398612338,0.355381503139169
"TGFBR1",0.642832351248384,0.355381503139169
"STAM2",0.572094255062447,0.355381503139169
"KIF5B",0.704684197117459,0.355381503139169
"GALNT1",0.572824127878859,0.355381503139169
"CREG1",0.544870400617197,0.355381503139169
"TMEM41B",0.639356127332403,0.357734484775329
"CCR2",0.675656186733303,0.358290633669445
"FAR1",0.769622875841079,0.358754962846083
"MOB4",0.659267483448549,0.358754962846083
"DCUN1D5",0.6099610725966,0.358754962846083
"HLX",-0.558459665204028,0.359743932310503
"ZFPM1",-0.560062739237655,0.359743932310503
"TSPAN2",0.83256582354783,0.359743932310503
"BIRC3",0.686113859169882,0.359743932310503
"ZNF92",0.527894298486278,0.359743932310503
"TIMM8B",0.89430648686283,0.359743932310503
"TRBV10-1",-1.26438295405887,0.359743932310503
"C3AR1",0.686783793288122,0.359743932310503
"SIRPD",0.76261759366307,0.359743932310503
"ZNF24",0.547488500368331,0.35987348652467
"BNIP2",0.619912291348594,0.361130939531106
"PNPLA8",0.679846143801174,0.361130939531106
"GPR27",0.723269280795222,0.361130939531106
"FBXO30",0.550767951414055,0.361594590153907
"CDC42EP2",-0.604772363975634,0.361902765526877
"UHMK1",0.611862782347592,0.361902765526877
"CD46",0.758436490592538,0.361902765526877
"PDCD10",0.826771925177506,0.361902765526877
"RNF138",0.605539282978019,0.361902765526877
"CUL4B",0.515387920954712,0.361902765526877
"DEK",0.641560844354103,0.361902765526877
"CD36",0.6994014041084,0.361902765526877
"IDH3G",-0.512814230616047,0.361902765526877
"CSNK1G3",0.671994149385981,0.361902765526877
"LYPD2",-1.58502731385759,0.361902765526877
"POLR2K",0.690978256089595,0.361902765526877
"ZNF608",0.764686781579162,0.361902765526877
"RAB44",-0.980579041181491,0.361902765526877
"IGLV3-27",1.48327118259003,0.361902765526877
"MS4A6A",0.596899460741445,0.363310380317551
"GOLPH3L",0.527229239339952,0.363646404700934
"TMEM167A",0.677040226584779,0.363646404700934
"SCOC",0.642276098665669,0.363646404700934
"TEFM",0.594133842083595,0.363646404700934
"JUP",-1.13404702363633,0.363646404700934
"AP1S2",0.633672771624064,0.363646404700934
"SPAST",0.565452378292619,0.363646404700934
"PPP4R1",0.530367641554299,0.363646404700934
"FAM8A1",0.711668695800113,0.363646404700934
"CD226",0.51828592571922,0.363646404700934
"RNFT1",0.655410997094603,0.363646404700934
"TRPM7",0.595624085206327,0.363646404700934
"KBTBD7",0.676889481987883,0.363646404700934
"ABHD3",0.64579904261144,0.363646404700934
"NMD3",0.584359908695075,0.363646404700934
"GPR65",0.571423905120378,0.363646404700934
"CCDC82",0.754809656302411,0.363646404700934
"SENP6",0.612974025507625,0.366220937724044
"SNORA49",1.61700299943493,0.367978881795721
"TLR10",0.640088606676118,0.369440483645114
"DBI",0.744526400131218,0.369440483645114
"LRRC70",0.598294611522485,0.369440483645114
"SLC22A4",0.678177054171718,0.369440483645114
"DAPP1",0.704691352586408,0.369440483645114
"SLC25A40",0.671340118223624,0.369440483645114
"SH3BGRL2",0.677366931866857,0.369440483645114
"TMCO1",0.615479940558071,0.369440483645114
"UBE2D1",0.672555575967549,0.369440483645114
"HAUS1",0.627409017784993,0.369440483645114
"VMP1",0.553149619238348,0.369822841953954
"GLRX",0.716517383159454,0.370553837168732
"IFI6",0.953374067364447,0.370553837168732
"TPGS2",-0.663845091041773,0.370553837168732
"EPHA1",-0.569732532759576,0.370553837168732
"KRCC1",0.627223845596948,0.370553837168732
"ICOS",0.671785683109501,0.370553837168732
"ANKHD1-EIF4EBP3",-0.511423921045654,0.370553837168732
"CCPG1",0.655471235911793,0.370553837168732
"SFRP2",-0.600510797646241,0.370553837168732
"NPHP3",0.562725422352589,0.370553837168732
"NBN",0.609593659239972,0.370553837168732
"LGALSL",0.717537713197226,0.370553837168732
"B3GNT2",0.671894638625444,0.370553837168732
"GNAQ",0.527287701670989,0.370553837168732
"VCPIP1",0.583135646739721,0.370553837168732
"GNA13",0.597017221112592,0.370553837168732
"MS4A4A",0.822983961373529,0.370553837168732
"PRF1",-0.910745921095447,0.370553837168732
"MSH5",-0.50650442239949,0.370553837168732
"NOXA1",-0.571373468841291,0.370553837168732
"IFIT1",1.44582311839017,0.370553837168732
"PRRG4",0.621739927586296,0.370553837168732
"ALCAM",0.608042475227036,0.370553837168732
"SAMD8",0.653522851411178,0.370553837168732
"STK3",0.546012910250251,0.370553837168732
"GLI1",0.775806308977369,0.370553837168732
"PPM1A",0.502791590757441,0.370553837168732
"IFT172",-0.548761583033909,0.370553837168732
"SACM1L",0.54553486768108,0.370553837168732
"CHURC1",0.590611351220157,0.370553837168732
"RFX2",0.571825669128293,0.370553837168732
"BAG1",-0.573022158560558,0.370553837168732
"CAPZA2",0.829016267100966,0.370553837168732
"FAM91A1",0.625214148356525,0.370553837168732
"SUB1",0.831470043194827,0.370553837168732
"C3",-0.791467846033728,0.370553837168732
"UBE2W",0.601653835237975,0.370553837168732
"CREB5",0.637278683111847,0.370553837168732
"CCP110",0.564658825762222,0.370553837168732
"GK",0.693829357113438,0.370553837168732
"TMED5",0.612810647796279,0.370553837168732
"PRUNE2",0.604720714207243,0.370553837168732
"CMTM6",0.602536478716673,0.370553837168732
"IL18BP",-0.612672963466192,0.370553837168732
"ROCK1",0.754488477296773,0.370553837168732
"B3GAT1",-0.741878031831104,0.370553837168732
"VPS36",0.539366490973447,0.370553837168732
