"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TXN",0.629094742698331,4.87681410835903,2.41050781685216,0.0228053031904449,0.383609562523476,-3.25149591735642
"DDX11L9",-1.01612259140928,2.54131801063159,-2.40963111910705,0.0228504218594967,0.383609562523476,-3.25296002435755
"YPEL5",0.503264860909915,5.46117991392128,2.40876459657534,0.022895097191081,0.383609562523476,-3.25440683078626
"RP4-541C22.4.1",1.097131969999,0.73610016024492,2.40840379970405,0.02291372238389,0.383609562523476,-3.25500915214765
"MARCH5",0.506937837360875,3.75471557606889,2.40607411489182,0.0230343206858215,0.383992225746948,-3.25889709513107
"RP11-600F24.1.1",0.507613291631956,0.625920414025314,2.40398815012937,0.0231427954462812,0.385222732619612,-3.26237642013515
"KREMEN1",0.816887286554128,3.79373018184432,2.40335163802323,0.0231759884800689,0.385222732619612,-3.26343774851092
"RP11-142L4.2.1",0.628296552006218,1.96214532862116,2.40103456925545,0.0232971881104886,0.385817085041658,-3.2672998579495
"CTD-2341M24.1.1",0.581753557225022,0.850433166270593,2.40083863464352,0.0233074634778263,0.385817085041658,-3.26762634255474
"AC051642.1",1.55267452322143,4.63997873480931,2.39700039812426,0.0235095897485629,0.387530104582604,-3.27401879650838
"DHX36",0.52988370627172,3.31996735195031,2.39400485434357,0.0236684516411188,0.388749650654258,-3.27900356958954
"FNTAP2",0.655210204233961,1.30370039038259,2.39372733720365,0.0236832187239642,0.388749650654258,-3.27946518869821
"J01415.24",-0.54993620701552,12.0087525855806,-2.39220998951873,0.0237641080629776,0.388749650654258,-3.28198856815005
"HIST1H1PS1",1.46886843061412,2.13488893012819,2.39173481539331,0.0237894913553074,0.388749650654258,-3.2827785971291
"GCET2",0.590341071068742,2.75731948084925,2.39139391445903,0.023807717190509,0.388749650654258,-3.28334532488892
"BCL6",0.790037134791403,7.13927121655226,2.38990752900198,0.023887334210663,0.389161586947735,-3.28581579316906
"C18orf32",0.538592938516947,4.19012681825715,2.38505005342215,0.0241492216560852,0.390130518470922,-3.29388286563025
"RRM2B",0.697345612258276,2.77009709472484,2.38469920118015,0.0241682388680695,0.390130518470922,-3.29446516695409
"RCBTB1",0.548348880291293,2.15018662486979,2.38288641288028,0.0242667155045529,0.390130518470922,-3.29747299709825
"EMID1",-0.5789915742976,1.2112728429786,-2.38198629839259,0.0243157488092019,0.390130518470922,-3.29896598656761
"NPM1P18",0.563976873959474,1.19862174282807,2.38104742674502,0.0243669898424052,0.390130518470922,-3.30052290302596
"AC092661.2.1",0.55494815492036,2.88077149390588,2.3795472340355,0.0244490710444197,0.390130518470922,-3.30300988991661
"RP13-77O11.2.1",0.514714215381086,3.53179816165089,2.37946634294682,0.0244535040703502,0.390130518470922,-3.30314396283884
"CTD-2547L24.3.1",0.514774867063101,2.21991430682266,2.37897836006863,0.0244802622842742,0.390130518470922,-3.30395271229175
"ARHGEF17",-0.598845724015914,0.655420770644154,-2.37822479524779,0.0245216360563938,0.390130518470922,-3.30520142460261
"MATN2",0.792128840378302,0.677373192104107,2.37702331770959,0.0245877341840748,0.390130518470922,-3.30719187265221
"DISC1",0.511624254771772,1.91271834903202,2.37700335543627,0.0245888337623947,0.390130518470922,-3.30722493841571
"NUFIP2",0.506962380504123,3.08074771048439,2.37699893045626,0.0245890775088562,0.390130518470922,-3.30723226798644
"PLCXD2",0.524776005966712,0.522312944641183,2.37690635548207,0.0245941774328776,0.390130518470922,-3.30738560801254
"CSTA",0.745427475845425,4.85486044387236,2.3743826814266,0.0247335784753299,0.390240904832982,-3.31156441499585
"MTND4P12",-0.698169081894383,1.85279976126901,-2.37344270242872,0.0247856845770581,0.390424692218486,-3.31312019367515
"SUZ12",0.535641023879347,2.34597633192824,2.37278769794905,0.0248220528497662,0.390424692218486,-3.31420408719579
"RP11-504P24.3.1",0.866703673562602,2.41021681685172,2.37092073017203,0.0249259813331689,0.390424692218486,-3.31729254000808
"PPIAL4G",0.511110240877352,0.560887877700739,2.3705403112022,0.0249472067728063,0.390424692218486,-3.3179216738448
"SCAMP5",-0.52608985940881,1.51144515986009,-2.37038575874948,0.0249558347243911,0.390424692218486,-3.31817725416869
"CD74",-0.522694329975071,10.8404086433266,-2.36953630158337,0.0250033046541532,0.390424692218486,-3.31958180631774
