"ENSEMBL_ID"	"Gene_ID"	"ntRA_01"	"ntRA_02"	"ntRA_03"	"ntRA_04"	"ntRA_05"	"HC_01"	"HC_02"	"HC_03"	"HC_04"	"HC_05"	"HC_06"	"HC_07"	"HC_08"	"HC_09"	"HC_10"	"HC_11"	"HC_12"	"tRA_01"	"tRA_02"	"tRA_03"	"tRA_04"	"tRA_05"	"tRA_06"	"tRA_07"
"ENSG00000075884"	"ARHGAP15"	1.16534	0.543812	1.11898	0	0.936959	0	0.993316	1.09085	0.132006	1.34194	1.12924	1.90006	1.1934	0.665778	0.451636	0.754599	0.327691	0.836518	1.27282	0.257607	0.409091	0.240025	0.237889	0.468397
"ENSG00000075886"	"TUBA3D"	1.28263	0.237643	0.388307	0.92731	1.13212	1.07198	0	0.490062	0	0	1.82136	0	0.447022	0.130354	0.169818	0	0.160372	0.13481	0	0	0.230814	0	0	0
"ENSG00000075891"	"PAX2"	0	0.0312236	0	0	0.0343222	0.0527481	0	0	0	0.30926	0	0.0507627	0	0	0	0.173993	0.0657212	0	0	0.0446639	0.0707858	0	0.0478555	0.0366907
"ENSG00000075914"	"EXOSC7"	14.9072	15.0588	11.9016	13.6676	9.24738	16.3119	8.79275	12.8096	15.448	9.21921	12.9991	17.7418	13.7641	16.2089	16.3639	18.3713	13.3222	16.5401	6.8876	9.69639	18.6289	18.0734	10.3366	9.86764
"ENSG00000075945"	"KIFAP3"	3.87715	5.34391	5.02328	4.4755	4.35282	4.02386	3.73412	4.09652	2.57585	3.28423	5.4111	3.04981	3.46451	4.51266	3.38608	5.58249	3.10069	3.95998	2.15322	4.52479	5.9002	4.05306	3.54768	3.75735
"ENSG00000075975"	"MKRN2"	6.58886	8.96825	10.0929	6.78387	9.01034	9.00743	6.92142	6.48162	5.25556	7.13342	8.12878	6.35036	7.67559	8.17734	6.31103	7.36623	6.64405	7.14301	9.57597	7.90762	10.2078	7.79737	5.27416	8.16131
"ENSG00000076003"	"MCM6"	3.58373	7.02683	6.59994	11.0847	3.70401	4.45556	6.79408	6.29833	6.31331	5.76221	6.59871	3.61965	4.47147	8.04355	5.28795	5.73886	4.00874	4.34147	2.80793	3.84314	6.22674	7.14944	5.07507	4.22032
"ENSG00000076043"	"REXO2"	9.65036	18.6169	16.7419	19.799	12.9991	22.2609	11.6756	13.56	19.2345	17.6615	13.0257	12.7547	14.502	15.9011	8.8729	17.491	8.44039	14.5958	4.75906	12.9657	19.1194	17.362	13.411	16.3701
"ENSG00000076053"	"RBM7"	7.18952	10.0976	10.3302	6.37402	11.2061	8.47023	7.77842	6.38917	7.31202	9.18854	8.71122	4.49799	11.8722	5.68274	6.42555	10.1871	7.7515	7.36752	9.99838	10.6996	10.0804	9.78884	6.41679	11.8364
"ENSG00000076067"	"RBMS2"	0.971863	0.492057	0.624553	0.770474	0.390558	0.762008	0.71273	0.450932	0.663929	0.347541	0.127738	0.996734	0.540562	0.546306	0.571011	0.631266	0.461816	1.1904	0.983026	0.557048	0.968224	0.869844	0.491793	0.827189
"ENSG00000076108"	"BAZ2A"	26.9569	28.5189	44.2408	29.8448	37.511	36.4776	25.4428	36.3712	28.3755	38.986	31.805	29.3871	27.5711	27.1595	34.1918	43.1682	38.2346	30.016	50.5448	36.8574	29.3508	20.4224	27.801	45.8876
"ENSG00000076201"	"PTPN23"	11.7881	14.2479	8.09113	9.82398	8.73588	16.7878	14.1611	15.7706	17.0076	13.7767	15.0666	15.0054	10.4429	18.0051	15.2456	14.7447	12.3159	16.9273	10.1035	10.8291	12.5263	12.1281	10.0021	6.89755
"ENSG00000076242"	"MLH1"	9.07117	10.2728	9.38125	8.11633	8.8979	11.4625	9.44722	10.1692	11.9007	8.80267	8.96933	8.95521	8.83931	14.6747	9.46648	11.8906	10.3149	6.78138	8.13912	10.6864	8.43066	12.9045	11.0464	7.03181
"ENSG00000076248"	"UNG"	5.33138	6.94931	4.56134	7.69626	4.51046	10.4816	5.55615	7.53806	8.22985	5.20486	5.91917	6.24568	4.40588	7.59553	4.9697	8.63616	4.76599	5.7411	2.87007	6.67668	10.2451	5.19784	4.28112	5.89435
"ENSG00000076258"	"FMO4"	1.63614	0.906999	0.785168	0.85871	1.34062	1.17676	2.54297	1.24864	1.7472	1.09386	2.33231	0.681809	1.37342	1.38545	0.519616	0.585239	1.20352	0.798569	0.516776	0.893884	1.9938	1.48013	1.93176	0.573928
"ENSG00000076321"	"KLHL20"	2.90484	5.37598	4.90988	2.85928	3.84851	3.58345	3.59793	2.07846	3.6422	2.02444	5.43656	2.83184	2.87687	1.86974	1.94231	4.02133	2.78246	2.97846	2.29271	1.97738	3.97446	2.75287	2.06775	4.33489
"ENSG00000076344"	"RGS11"	0.0686624	0	0.605073	0	0	0	0	0.0810825	0	0	0.0935848	0.0972005	0	0.18879	0	0	0	0	0	0	0.138239	0.0794897	2.32593e-253	0
"ENSG00000076351"	"SLC46A1"	0.907992	1.29282	1.00342	0.775529	0.763789	0.980667	0.839093	1.33085	1.17753	0.467862	1.23449	0.74303	0.744652	1.00916	0.692071	0.564633	0.301612	1.62241	0.461144	0.934648	1.68362	1.41324	0.685931	0.315182
"ENSG00000076356"	"PLXNA2"	2.67915	0.692891	2.39308	1.11478	4.25256	1.38405	2.99897	3.50873	1.01971	1.72727	1.83757	1.18901	1.75193	1.48378	0.964301	1.02499	1.24421	1.13186	5.72921	4.49441	1.47231	2.21309	2.073	2.98017
"ENSG00000076382"	"SPAG5"	0.644545	1.1149	0.899831	0.862981	0.341306	1.0028	0.448231	0.674983	1.00604	0.790383	0.496997	0.3882	0.383922	0.795602	0.370012	0.794624	0.572687	0.485127	0.290092	0.902888	0.71801	1.30534	0.71001	0.380376
"ENSG00000076513"	"ANKRD13A"	60.4163	60.4393	92.9907	58.6499	75.9431	51.2425	56.2313	61.4492	48.4608	65.4893	58.8743	54.9482	63.17	43.2591	49.2239	57.343	67.6631	54.1403	88.5688	77.6516	57.7729	53.7597	58.9963	98.1498
"ENSG00000076554"	"TPD52"	4.48959	24.162	14.1212	8.28885	10.3499	14.0853	8.00945	4.22709	9.05456	3.75201	6.57125	12.0315	11.8058	8.131	5.65844	11.5209	7.91945	6.9011	7.13963	5.75759	10.1507	10.6696	5.65952	7.70114
"ENSG00000076555"	"ACACB"	4.01186	4.85585	2.96947	2.64287	3.3603	5.83716	2.15074	4.40857	2.97449	4.18123	8.75453	2.38021	2.14324	3.20867	3.79942	5.99521	3.61353	4.57035	2.71411	1.48712	6.67467	2.22833	3.20575	4.55281
"ENSG00000076604"	"TRAF4"	8.34487	11.5287	6.04863	7.20466	5.57943	11.3167	5.4607	10.1754	8.52499	8.35973	12.2695	8.39417	7.24889	8.86766	6.95878	11.3259	8.9718	10.1204	3.75519	4.43898	11.543	9.0401	6.56164	5.0918
"ENSG00000076641"	"PAG1"	4.35243	8.65149	12.1932	5.09465	16.0717	11.5564	2.84113	3.80931	2.89415	6.6822	6.45851	4.46271	3.9634	4.60173	3.59353	6.20226	6.33236	7.25733	13.1993	7.29058	8.80885	3.70947	2.88023	12.1166
"ENSG00000076650"	"GPATCH1"	3.67724	3.92783	3.09145	3.1103	3.34588	3.4285	4.60421	3.21977	3.78965	3.16058	3.69316	3.46093	2.97712	3.2626	3.68646	3.33789	3.85843	3.27846	3.67966	3.31764	4.13836	4.25468	2.90959	3.0411
"ENSG00000076662"	"ICAM3"	963.501	535.027	457.161	741.318	585.811	465.14	793.132	836.574	779.574	707.904	658.027	835.358	753.173	804.17	844.041	592.221	699.568	684.155	710.126	764.15	509.584	507.911	809.731	455.158
"ENSG00000076685"	"NT5C2"	38.3282	34.0457	62.6426	58.1371	66.7048	33.6097	41.309	40.3255	33.3717	45.0113	40.4682	35.0448	48.1164	32.6463	38.0908	45.0466	56.5156	50.4884	87.7472	81.5925	40.0225	37.4905	43.7926	80.6921
"ENSG00000076706"	"MCAM"	0.562806	0.15317	0.225959	0.0480572	0.222488	0.218817	0.230157	0.215222	0.296774	0	0.278691	0.250717	0.170111	0.216534	0	1.11008	0	0.05377	0.35127	1.374	0.331856	0.19497	0.234721	0.355269
"ENSG00000076716"	"GPC4"	0.377908	0.0295777	0.137822	0	0.0239801	0.0499654	0.243151	0.0306458	0	0.694773	0.507605	0.224694	0.160696	0	0.121812	0.101689	0	0.190681	0.109231	0.104224	0.0574369	0	0.0962092	0.144494
"ENSG00000076770"	"MBNL3"	17.243	13.8831	24.2581	25.5571	24.5503	22.7387	42.6992	22.2868	62.1419	50.2026	37.7895	34.9461	22.8554	42.9955	23.768	13.6846	38.5615	30.4502	11.3863	24.2766	40.9351	17.2371	17.0174	31.987
"ENSG00000076826"	"CAMSAP3"	0.149196	0.119545	0	0.16465	0.238546	0.0448721	0.21839	0.268818	0.282775	0	0.348165	0.0501826	0.13614	0.0456697	0.232202	0.193502	0	0.184256	0.0218033	0.176622	0	0.185034	0.0407193	0.0311364
"ENSG00000076864"	"RAP1GAP"	0.970121	1.00099	4.07087	49.0777	2.43099	0.982001	6.78678	0.450512	0.194126	3.7279	1.3827	0.4685	3.2315	2.8536	1.42682	0.732714	0.522588	3.05699	0.405955	6.29981	1.91479	1.3033	3.34032	0.296255
"ENSG00000076924"	"XAB2"	30.2054	30.378	20.8855	25.3173	19.544	33.275	29.3609	30.7153	32.2236	26.2338	33.6019	38.1044	22.9581	42.7107	35.1171	34.6668	27.4782	30.5263	21.5363	24.4577	32.0262	31.8922	27.4003	14.5225
"ENSG00000076928"	"ARHGEF1"	236.116	230.4	168.575	205.394	172.486	253.257	215.386	243.092	248.805	205.887	249.768	247.743	194.285	289.71	232.613	255.056	221.494	228.45	191.874	178.351	240.993	173.682	198.142	132.378
"ENSG00000076944"	"STXBP2"	222.75	156.147	144.135	190.567	128.236	157.383	226.1	210.767	217.326	217.085	224.727	212.106	197.094	194.129	237.446	171.96	201.502	213.914	201.794	212.95	157.328	186.306	260.682	141.74
"ENSG00000076984"	"MAP2K7"	28.9676	30.1848	26.893	32.0152	28.9981	34.6728	31.6524	30.9409	34.8717	33.5087	34.0756	31.3598	27.6483	34.3189	35.452	34.3342	33.2359	33.6345	26.9002	37.0975	31.5823	24.7572	29.1424	15.6939
"ENSG00000077009"	"ITGB1BP3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000077044"	"DGKD"	27.4601	39.5316	32.1972	26.2519	45.8053	44.3046	23.0969	31.5755	23.9057	32.0352	31.915	31.0985	31.1871	32.4521	25.9293	43.3108	25.208	31.0281	48.8573	34.657	30.8669	17.1445	19.1268	40.0886
"ENSG00000077063"	"CTTNBP2"	0.820025	0	0.610121	0.0352615	0	0	0	0.035981	0	0	0	0	0.0328005	0.0440162	0	0.0414396	0	0	1.36811	0	0	0.161812	0	0.0299916
"ENSG00000077080"	"ACTL6B"	0	0	0	0	0	0	0	0	0.228717	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20635	0
"ENSG00000077092"	"RARB"	0	0.0431889	0	0	0	0.291941	0.315585	0.133257	0	0	0	0	0	0.0741768	0	0.0699109	0	0.266099	0.0354257	0.373736	0	0	0	0
"ENSG00000077097"	"TOP2B"	23.9991	33.9342	35.9154	29.9465	29.8799	36.8251	20.9334	22.6655	22.8023	19.4247	27.2193	20.5791	24.2112	29.2681	21.7799	30.0991	23.4973	24.0375	21.2197	22.5964	27.4908	29.5562	24.5412	19.562
"ENSG00000077147"	"TM9SF3"	8.28186	18.9175	19.5326	9.95117	11.1141	13.0538	6.70959	8.32526	8.16542	8.81379	7.1693	10.0929	9.82094	6.5845	6.60689	10.66	9.21986	11.1989	12.3908	11.6042	12.6794	9.42337	9.69118	13.4752
"ENSG00000077150"	"NFKB2"	72.2311	76.7522	66.1382	56.5567	46.7942	75.7298	71.9316	85.4784	87.1324	73.9787	70.7773	78.009	81.9402	91.8067	83.7772	65.322	79.445	91.3863	56.4716	53.123	58.8379	67.3204	91.6879	56.7718
